candidate_id,candidate_name,candidate_type,current_status,address_or_location,historical_activity,pollutant_relevance,linked_pollutant_families,linked_wells_or_focus_area,evidence_grade,evidence_source_type,source_id,page_ref_or_excerpt_ref,raw_text_verified,web_verified,chemical_fit,spatial_hydrogeological_fit,confidence,uncertainty_note,candidate_role
SC-011,תחנת סונול המלאכה,תחנת דלק,active (gas station),"המלאכה, חולון",2007-עכשיו,"BTEX, מזהמי דלק, ממסים מוכלרים",CVOC+FUEL,נד אגד אזור (קידוחי תדירגן),A+B,raw_text+findings_json,HST2007,HST2007 p.74,yes,no,partial,yes,MEDIUM,station is adjacent to Tadirgan plume; difficult to separate FUEL signal from CVOC plume,primary_focus
SC-012,המלבין,ניקוי יבש,closed,אזור התעשייה חולון (סמוך לאמקור פליז/סופר כרום),1970s-1990s?,"TCE, PCE, DCE",CVOC,נת חולון 14,B,findings_json+report_2021,RPT2021;ECO2012A,RPT2021 p.31,no,no,partial,partial,HIGH,3 adjacent facilities — Hamalbin/Amkor-Pliz/Super-Chrome — share borehole nt-holon-14; cannot isolate,secondary
SC-013,סופר כרום,ציפוי כרום,closed,אזור התעשייה חולון,1969-?,"כרום, TCE",METALS,נת חולון 14,B,findings_json,ECO2012A;RPT2021,ECO2012A p.7,no,no,partial,partial,MEDIUM,single mention; shared borehole with 2 other candidates,secondary
SC-014,כרומט,ציפוי כרום,closed (~2004),אזור התעשייה חולון,1969-2004,"TCE, DCE, כרום",CVOC+METALS,נת חולון 1;נת חולון 2,B,findings_json+report_2021,RPT2021;ECO2012A,RPT2021 p.31,no,no,yes,partial,MEDIUM,2021 report explicitly ambiguous: Kor-Metal OR Chromat,secondary
SC-015,נצח (גונן כימיקלים),ייצור דבק,closed (1986),אזור התעשייה חולון,1959-1986,"דבקים, כימיקלים אורגניים",OTHER,נת חולון 2,B,findings_json,HST2007,HST2007 p.74,no,no,no_direct (organic chemicals/adhesives not in standard panel),partial,MEDIUM,not in computational model; only mentioned in HST2007,secondary
SC-016,לודזיה,טקסטיל,closed,"ככר צמרת, חולון",1959-1997,"דטרגנטים, כרום, צבענים",METALS,מק חולון 9;מק חולון 13,B,findings_json,HST2007,HST2007 p.91,no,no,partial (detergents not in standard panel),partial,MEDIUM,detergent contamination data outdated (mq-holon-9 from 1984),secondary
SC-017,המגדר,גילוון אבץ,closed (1985),אזור התעשייה חולון,1962-1985,"אבץ, VOCs",CVOC+METALS,,B,findings_json,HST2007;ECO2012A;ECO2012B,HST2007 p.74; ECO2012A p.3,no,no,unverified,unverified,MEDIUM,recommended borehole ntx-18 not yet drilled; Zn not in standard panel,background
SC-018,גימת השחרות (שחרות),ציפוי,active (2012),אזור התעשייה חולון,1973-2008+,VOCs,CVOC,נת חולון 21 (מתוכנן),B,findings_json,ECO2012A;ECO2012B,ECO2012A p.3,no,no,unverified,unverified,MEDIUM,planned monitoring well nt-holon-21 not yet drilled,background
SC-019,שחרות,ציפוי,closed (~2008),אזור התעשייה חולון,1973-2008,"TCE, VOCs",CVOC,,B,findings_json,ECO2012A,ECO2012A p.45,no,no,unverified,unverified,MEDIUM,only in computational model; no specific borehole link,background
SC-020,תעשיות ברגים,ציפוי מתכות,closed (1984),אזור התעשייה חולון,1959-1984,"TCE, PCE, כרומאט, מתכות",CVOC+METALS,נת חולון 4,B,findings_json,HST2007;ECO2012A,HST2007 p.74; ECO2012A p.13,no,no,partial,partial,MEDIUM,nt-holon-4 found no exceedance; secondary plume hypothesis,secondary
SC-021,ארקר,ציפוי מתכות,closed (1985),אזור התעשייה חולון,1959-1985,"TCE, PCE, כרומאט",CVOC+METALS,,B,findings_json,HST2007;ECO2012A,HST2007 p.74,no,no,partial,partial,MEDIUM,sub-plume hypothesis; no specific borehole verification,secondary
SC-022,"סדנת שיפוץ נגמשים — צה""ל",מתקן צבאי,closed_or_active_unsurveyed,אזור התעשייה חולון,1950s-1990s,"שמנים, דלקים, ממיסים אורגניים",FUEL,,D,findings_json (inferred),HST2007,HST2007 p.74,no,no,unverified,unverified,MEDIUM,never surveyed; no monitoring well; military access restriction,background_appendix
SC-023,"מחנה דלק שד' לוי אשכול — צה""ל",מתקן צבאי,closed_or_active_unsurveyed,"שד' לוי אשכול, חולון",1950s-1990s,"דלק, BTEX, MTBE, פחמימנים",FUEL,,D,findings_json (inferred),HST2007,HST2007 p.74,no,no,unverified,unverified,MEDIUM,never surveyed; no monitoring well,background_appendix
SC-024,אתר פסולת סגור חולון,אתר פסולת היסטורי,closed (historical),"200 dunam, חולון",1950s-1990s,"תשטיפי פסולת, מתכות, אורגניים",OTHER,מק חולון 15,B,findings_json,HST2007,HST2007 p.91,no,no,partial,partial,MEDIUM,2005 survey found no leachate (assumed already percolated),secondary
SC-025,אתר פסולת מקווה ישראל,אתר פסולת + אגני חימצון,closed (~2000s),"מקווה ישראל, חולון",1940s-2000s,"CCl4, תשטיפי פסולת, שפכים חקלאיים",OTHER,מק חולון 15,B,findings_json,HST2007,"HST2007 p.74,91",no,no,partial (CCl4 candidate),partial,MEDIUM,suspected source for CCl4 in mq-holon-15 but not verified,secondary
SC-026,ברכות חימצון היסטוריות (גוש 6032/7177),אגני שפכים גולמיים,closed (~1970s),"גוש 6032/7177, חולון",1960s-1970s,"שפכים גולמיים, מתכות, ממיסים, דטרגנטים",OTHER,,D,findings_json (map mention),HST2007,HST2007 (map reference),no,no,unverified,unverified,LOW,shown on 1960 maps only; never monitored; pre-sewage-system era,background_appendix
SC-027,פרוון (בורסקאות),בורסקאות,unknown,אזור התעשייה חולון,1950s-?,"כרומאט, PCE, סולפידים, קדמיום",METALS,,E,findings_json (single mention),HST2007,HST2007 (mention only),no,no,unverified,unverified,MEDIUM,single document mention; no dedicated borehole,background_appendix
SC-028,כמוגרף CTT,תעשיית מתכת,unknown,אזור התעשייה חולון (סמוך לתרשיש),?,קדמיום,METALS,,E,findings_json (single mention),HST2007,HST2007 (mention only),no,no,unverified,unverified,LOW,single mention; only proximity to Tarshish noted,background_appendix
SC-029,מ.ג.ל / א.י.א.ס / אחים לוי (בת ים),ציפוי מתכות,unknown,בת ים (מחוץ לפוליגון חולון הראשי),1960s-?,"TCE, PCE, כרומאט, קדמיום",CVOC+METALS,,B,findings_json,HST2007,HST2007 p.12,no,no,yes (but in Bat-Yam zone),no (outside Holon zone),HIGH,"Bat-Yam zone facility; affects Bat-Yam wells, not Holon",background_appendix
SC-030,מפעל נירוסטה (מוסב),תעשייה כללית (טרם אבחון),"in transition (closure 2023, urban renewal)","פינת פרופ' שור + הפלד, חולון",?-2023,לא ידוע,OTHER,,C,web_only,web_findings 2026-05,"web_findings.md (q5,q6)",no,yes,unverified,unverified,LOW,no historical contamination evidence; just web-confirmed closure plan,appendix_only
SC-031,תדיראן / אלביט — המרכבה 29 (פעיל נוכחי),אלקטרוניקה/ביטחון,active (~350 employees),"המרכבה 29, חולון",2000-עכשיו,לא ידוע,OTHER,,C,web_only,web_findings 2026-05,web_findings.md (q2),no,yes,unverified,unverified,LOW,current activity confirmed; NOT same site as historic Tadiran-Kesher contamination source,appendix_only
